Organization,County,Program Name,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,Notes,Serves
Guilford County Schools,Guilford,Grab & Go Meals - Bellemeade Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2350 Bellemeade Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - The Oaks at Silver Ridge,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2926 E. Kivett Drive,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Ingram Woods Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2704 Ingram Road,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Kendall Street Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,211 Kendall Avenue,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Ambassador Court Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2501 Ambassador Court,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - South Wind Villas,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,820 E. South Road,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Greater New Hope Baptist Church,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,906 Meredith Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Spring Valley Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1403 E. Commerce Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Claremont Homes,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2702 Patio Place,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Smith Homes,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,707 W. Florida Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - GHA-Ray Warren Homes,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,312 N. Swing Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Turnbridge Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,503 Turnbridge Circle,, Brown Summit,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Northland Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3319 O’Henry Blvd.,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Autumn Forest Trailer Park,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3700 Autumn Forest Drive,, Brown Summit,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Choice Hotel,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,110 Seneca Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Juanita Hills,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2701 Annmore Circle,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Carson Stout Homes,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,501 Anaheim Street,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Daniel Brooks Homes,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1455 West Avenue,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Laurelwood Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1300 Burton Road,, High Point,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Oak Ridge Commons,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2205 Oak Ridge Road,, Oak Ridge,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Summerfield Mobile Home Park,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,172 Turfwood Circle,, Stokesdale,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Pathway,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3517 N. Church Street,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Allerton Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3201 Allerton Circle,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Plantation Apartments,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1101 Berkley Manor Way,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Greenbriar,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,129 Greenbriar Road,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
Guilford County Schools,Guilford,Grab & Go Meals - Hayleigh Village,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4020 Eight Belles Lane,, Greensboro,,https://www.gcsnc.com/,,,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",
FaithAction International House,Guilford,FaithAction ID Program,,,,,,10:00am to 1:00pm,,,705 N. Greene Street,,Greensboro,27401,https://faithaction.org/,336-379-0037,"FaithAction and FaithAction ID network partners provide ID cards to individuals who may not currently have access to government issued forms of ID, including new immigrants and refugees, homeless and elderly individuals, those recently returning from jail, and others who believe in a diverse and inclusive community.","Due to COVID 19, the office is closed to the public, phone-based appointments only. Call 336-379-0037 and leave a message with the person you want to speak with, they will call back from a private #",
FaithAction International House,Guilford,Immigrant Assistance Center,,9:00 am -5:00pm,10:00 am-6:00pm,9:00 am -5:00pm,10:00 am-6:00 pm,9:00 am -5:00pm,,,705 N. Greene Street,,Greensboro,27401,https://faithaction.org/,336-379-0037,"FaithAction's bilingual staff provide one on one help with: Basic needs (food and diapers, healthcare, and housing issues); FaithAction ID cards; Education opportunities and employment readiness; Safe space and accompaniment for domestic/sexual violence survivors; Emergency assistance to families facing detention and deportation; Referrals for furniture, clothing, legal services, etc.","Due to COVID 19, the office is closed to the public, phone-based appointments only. Call 336-379-0037 and leave a message with the person you want to speak with, they will call back from a private #",
Room at the Inn,Guilford,Mary Nussbaum Maternity Home,,9:00am -2:00pm,9:00am -2:00pm,9:00am -2:00pm,9:00am -2:00pm,,,,734 Park Ave,,Greensboro,27405,https://www.roominn.org/,336-996-3788,"Room At The Inn, Inc. is an unique, comprehensive program helping homeless single pregnant women with or without previous children. Room at the Inn helps not only during pregnancies but also after the birth of their babies.",Agency offers various programs to residents only. Residents are self isolating due to COVID-19,
Kellin Foundation,,Greensboro HEALS,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,Provides uninsured individuals ages 19-64 with free mental health and substance abuse services.,,
Kellin Foundation,,Girls Leadership Edge,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,is an evidence-based leadership skills development curriculum designed for girls ages 13 to 15.,,
Kellin Foundation,,Greensboro Crisis Response Iniative,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,"A trauma-informed, culturally-competent, and comprehensive coordinated community response for child victims and their families.",,
Kellin Foundation,,Kellin Kids,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,A kid developed and kid driven program designed to find solutions for community problems. KK allows volunteer opportunities for children to get involved,,
Kellin Foundation,,Tree House,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,"Provides trauma-informed assessment and treatment services for children, adults and families who have been exposed to stressful events. The goal of the Treehouse is be a bridge from crisis to wellness",,
Kellin Foundation,,Lindy's Kids,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,Provides assistance to kids and families to help ensure safety and wellness.,,
Kellin Foundation,,Guilford County Trauma Provider Network,,,,,,,,,"2110 Golden Gate Drive, Suite B",,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,"A  group of providers, law enforcement, and community members that meet monthly and work collaboratively to address the needs of children and families who have experienced trauma.",,
Mental Health Greensboro,,Mental Health Greensboro,,,,,,,,,"700 Walter Reed Dr.,",,Greensboro,27403,https://www.mhag.org/,336-373-1402,"Public education services include Mental Health First Aid and QPR Suicide Intervention, and the Provider Academy that provides educational opportunities for healthcare professionals",Closed until further notice. All Support groups and events canceled.,
Postpartum Support International,,,,,,,,,,,,,,,https://www.postpartum.net/,800-944-4773,"24 hour hotline for mothers experiencing postpartum depression, online support groups, provider directory",,
Therapeutic Alternatives,,Mobile Crisis,,,,,,,,,,,,,https://www.mytahome.com/mobile-crisis,1-877-626-1772,"Mobile Crisis Management provides immediate crisis response 24 hours a day, 7 days a week. Services include: telephone assessments, face-to-face evaluation when needed, educational services for crisis prevention, evaluations for safety, access to crisis stabilization interventions for mental health and/or substance abuse services, development of a crisis plan for current and future use, assistance with hospitalizations, and integrated crisis response and crisis prevention activities with linkage to ongoing services if needed. **This can definitely be paired down**",,
Therapeutic Alternatives,,Corporate offices,,,,,,,,,PO Box 814,,Randleman,27317,,336-495-2700,,,
Therapeutic Alternatives,,Asheboro office,,,,,,,,,962 S. Fayetteville Street,,Asheboro,27203,,336-626-1700,,,
Department of Public Health,Guilford,Adopt a Mom,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1203 Maple St. ,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/health-and-wellness/coalition-on-infant-mortality-and-the-adopt-a-mom-program,336-641-6775,"The Adopt-A-Mom Program is sponsored by the Coalition on Infant Mortality and coordinates prenatal care for low to medium-risk pregnant women who are not eligible for Medicaid, do not have private insurance to cover the cost of care, and cannot afford to pay out of pocket for care.","Taking intakes by phone and forgoing $100 fee during this time frame, as well as signatures on documents",
Department of Public Health,Guilford,Care Coordination for Children (CC4C),,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1203 Maple. St. ,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/care-coordination-for-children-cc4c,336-641-7641,"The Care Coordination for Children (CC4C) Program is a free case management service for eligible children from birth up to five years of age. We serve children born at risk for developmental delays, children who have difficulty learning to speak or doing other things that a typical toddler or preschooler can and children whose parents have a concern that “something isn’t right”.",,
Department of Public Health,Guilford,Children's Developmental Services Agencies (CDSAs),,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,122 N. Elm St. ,,Greensboro,27401,https://beearly.nc.gov/index.php/contact/cdsa,336-334-5601,"Local Children's Developmental Services Agencies (CDSAs) are available to help families, caregivers, and professionals serve children with special needs through our Infant Toddler Program.","As of March 18, 2020, the North Carolina Infant-Toddler Program (ITP) is suspending face-to-face services until March 30, 2020, unless extended beyond that date. The program will be providing alternate methods to ensure the best support for our families during this difficult time and ensure service continuity.",
Department of Public Health,Guilford,Case Management for High Risk Pregnancy (CMHRP) formerly OBCM,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1100 E. Wendover Ave.,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,336-641-3700,"The Pregnancy Care Management Program is a free care management service available to pregnant women enrolled in North Carolina Medicaid and to a limited number of low income, uninsured pregnant women.",CMHRP CM’s will not be providing face to face visits with patients at several OB practice upon providers request in light of COVID-19,
Department of Public Health,Guilford,Family Connects,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1203 Maple St. ,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,336-641-3085,"Guilford Family Connects offers nurse home visits to all deliveries throughout Guilford County. Nurse home visits provide support, education, and early identification and referral of health & safety concerns.",,
Guilford Child Development,Guilford,Nurse Family Partnership,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1200 Arlington St. ,,Greensboro,27406,https://guilfordchilddev.org/parents/baby/,336-369-5080,"Nurse Family Partnership works by having specially trained nurses regularly visit young, first-time moms-to-be, starting early in the pregnancy, and continuing through the child's second birthday",NFP is not physically seeing clients. They are using telehealth to connect with clients.,
YWCA HP,Guilford,Baby Basics Program,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,155 W Westwood Ave,,High Point,27262,https://ywcahp.com/,336-882-4126,"Baby Basics offers families with young children assistance with basic needs including clothing, diapers, baby food, empowerment exercises, and car seats.","YWCA HP is closed. Baby Basics closet will offer a drive-through on Friday, March 27th from 9am-11am only.",
Department of Public Health,Guilford,WIC,,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,,,1100 E. Wendover Avenue,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,336-641-3214,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",The Greensboro office is open until 7:00 p.m. on the first and third Tuesday of every month. The Greensboro office reserves the last Tuesday morning of each month for staff meetings. The office is closed between 8:00 and 11:00 a.m. on those days.,
Department of Public Health,Guilford,WIC,,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,8pm-11am & 1pm-4pm,,,501 E. Green Drive,,High Point,27260,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,336-641-7571,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",The High Point office is open until 7:00 p.m. on the second Tuesday of every month. The High Point office reserves the 3rd Tuesday morning of each month for staff meetings. The office is closed between 8:00 and 11:00 am on those days.,
Greensboro Transit Agency,Guilford,Greensboro Transit Agency,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,300 West Washington Street,,Greensboro,27401,https://www.greensboro-nc.gov/departments/transportation/gdot-divisions/greensboro-transit-agency-public-transportation-division,336-373-2489,GTA provids quality public transportation services to Greensboro residents and visitors,"Until further notice, GTA will operate hourly service along normal routes. This will allow time for cleaning and sanitizing of buses throughout the day.",
Parents as Teachers,Guilford,Parents as Teachers,,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,,,415 N. Edgeworth Suite 206,,Greensboro,27455,https://patgc.org/,336-691-0024,"Parents as Teachers Guilford County was built on the principle that parents are their child’s first and best teachers. All parents, regardless of personal circumstances, can be empowered to gain control over difficult life events and can interact with their children in a way that facilitates healthy development. Through the combined use of personal visits, group connections, developmental screenings and our resource network, our Parent Educators partner with more than 70 families a year to help build their capacity to support their child’s development.","PATGC has suspended any home visits until Monday, March 30th. At that time we plan to continue services thru virtual platforms or by phone, whatever is best for each individual family. We will not be doing any on-ground group connections but will be looking at was to help families connect virtually. We will still be doing screenings, virtually and connecting families with needed resources as they share their needs.",
YWCA GSO,Guilford,Teen Parent Mentor Program,,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,8:00am - 5:00pm,,,1807 East Wendover Ave.,,Greensboro,27405,https://ywcagsonc.org/,336.273.3461 ext. 210,"The YWCA Teen Parent Mentor Program (TPMP) helps teen mothers succeed in school, postpone subsequent births to beyond adolescence, and deliver and raise healthy, school-ready children.","All TPMP group programs are cancelled until further notice. Staff are maintaining contact with participants via calls, Facetime, Facebook Messenger, Zoom meetings.",
Salvation Army,Guilford,Center of Hope Crisis Assistance ,,9:00am- 5:00pm,9:00am- 5:00pm,9:00am- 5:00pm,9:00am- 5:00pm,9:00am- 5:00pm,,,1311 S. Eugene Street,,Greensboro,27406,https://www.salvationarmycarolinas.org/greensboro/center-of-hope/,(336)235-0348,"When men, women and children have nowhere else to go, they can count on The Salvation Army Center of Hope. Each program is graduated to step clients from the point of crisis to the point of resolution. These programs include emergency shelter, rapid rehousing, and supportive services for veterans.","Due to COVID-19- not accepting new applications for shelter until April 1st. Shelter Applications: Monday, Wednesday, and Friday 9:00am-1:00pm. Shelter Admittance: Tuesday and Thursday",
Reading Connections,Guilford,Reading Connections,,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,8:30am-5:00pm,,,"122 North Elm Street, Suite 920",,Greensboro,27401,https://readingconnections.org/,(336) 230-2223,"RC is a nonprofit agency that provides innovative programs designed to improve literacy, language skills, educational equity, and self-esteem for adults in Guilford County, N.C.","COVID-19 update: classes cancelled until may; classes for ESOL, career coaching, computer literacy, high school equivalency, detention center literacy, adult education, and family literacy",
