"Organization","County","Program","lastUpdated","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Address1","Address2","City","Zip","website","Phone","Description","Notes","Serves","AddressLine","lon","lat","geoAddress"
"Guilford County Schools","Guilford","Grab & Go Meals - Southeast High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","4530 Southeast School Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"4530 Southeast School Road Greensboro, NC",-79.6963339,35.97351,"4530 se school rd, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Southern High",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","5700 Drake Rd",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"5700 Drake Rd Greensboro, NC",-79.8556645,35.9489558,"5700 drake rd, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Swann Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","811 Cypress Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"811 Cypress Street Greensboro, NC",-79.780809,36.0841568,"811 cypress st, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Washington Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1110 E. Washington Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1110 E. Washington Street Greensboro, NC",-79.7737182,36.0683002,"1110 e washington st, greensboro, nc 27401, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Welborn Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1710 McGuinn Drive",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1710 McGuinn Drive High Point, NC",-79.9906734,35.9823423,"1710 mcguinn dr, high point, nc 27265, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Western Middle",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","401 College Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"401 College Road Greensboro, NC",-79.8946519,36.083142,"401 college rd, greensboro, nc 27410, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Wiley Elementary",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","600 West Terrell Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"600 West Terrell Street Greensboro, NC",-79.8024983,36.0486215,"600 w terrell st, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Park Street Terrace Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","885 Sharon Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"885 Sharon Street High Point, NC",-79.9960223,35.9504683,"885 sharon st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Brentwood Crossing",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","200 Brentwood Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"200 Brentwood Street High Point, NC",-79.9782472,35.9652776,"200 brentwood st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - New Gate Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1605 Ganby Avenue",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1605 Ganby Avenue High Point, NC",-79.9927111,35.9580405,"1605 granby ave, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Laurelwood Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1300 Burton Road",NA,"  High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1300 Burton Road   High Point, NC",-80.0442688,35.9401051,"1300 burton ave, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Bellemeade Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2350 Bellemeade Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2350 Bellemeade Street High Point, NC",-79.9830145,35.9297645,"2350 bellemeade st, high point, nc 27263, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - The Oaks at Silver Ridge",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2926 E. Kivett Drive",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2926 E. Kivett Drive High Point, NC",-79.9360695,35.9579541,"2926 kivett dr, high point, nc 27263, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Ingram Woods Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2704 Ingram Road",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2704 Ingram Road High Point, NC",-79.9577436,35.926531,"2704 ingram rd, high point, nc 27263, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Kendall Street Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","211 Kendall Avenue",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"211 Kendall Avenue High Point, NC",-79.9969144,35.9348472,"211 kendall ave, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Ambassador Court Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2501 Ambassador Court",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2501 Ambassador Court High Point, NC",-79.9917287,35.9986388,"2501 ambassador ct, high point, nc 27265, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - South Wind Villas",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","820 E. South Road",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"820 E. South Road High Point, NC",-80.0405641,35.9329363,"820e south rd, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Greater New Hope Baptist Church",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","906 Meredith Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"906 Meredith Street High Point, NC",-79.9856016,35.955377,"906 meredith st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Spring Valley Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1403 E. Commerce Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1403 E. Commerce Street High Point, NC",-79.986974,35.956331,"1403 e commerce ave, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Claremont Homes",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2702 Patio Place",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2702 Patio Place Greensboro, NC",-79.7487538,36.0985377,"2702 patio pl, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Smith Homes",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","707 W. Florida Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"707 W. Florida Street Greensboro, NC",-79.8027651,36.0517595,"707 w florida st, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - GHA-Ray Warren Homes",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","312 N. Swing Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"312 N. Swing Road Greensboro, NC",-79.9099151,36.076378,"304 n swing rd, greensboro, nc 27409, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Turnbridge Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","503 Turnbridge Circle",NA,"Brown Summit",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"503 Turnbridge Circle Brown Summit, NC",-79.7783161,36.1482356,"turnbridge cir, greensboro, nc 27214, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Northland Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","3319 O’Henry Blvd.",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"3319 O’Henry Blvd. Greensboro, NC",-79.7508621,36.1240005,"3319 n o henry blvd, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Autumn Forest Trailer Park",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","3700 Autumn Forest Drive",NA,"Brown Summit",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"3700 Autumn Forest Drive Brown Summit, NC",-79.7205661,36.2016808,"3700 autumn forest dr, browns summit, nc 27214, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Choice Hotel",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","110 Seneca Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"110 Seneca Road Greensboro, NC",-79.7899334,36.0353164,"110 seneca rd, greensboro, nc 27406, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Juanita Hills",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2701 Annmore Circle",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2701 Annmore Circle High Point, NC",-80.04011,35.9343312,"2701 annmoore cir, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Carson Stout Homes",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","501 Anaheim Street",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"501 Anaheim Street High Point, NC",-79.9771417,35.970892,"501 anaheim st, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Daniel Brooks Homes",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1455 West Avenue",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1455 West Avenue High Point, NC",-79.9919734,35.9649253,"1455 west ave, high point, nc 27260, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Laurelwood Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1300 Burton Road",NA,"High Point",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1300 Burton Road High Point, NC",-80.0442688,35.9401051,"1300 burton ave, high point, nc 27262, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Oak Ridge Commons",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","2205 Oak Ridge Road",NA,"Oak Ridge",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"2205 Oak Ridge Road Oak Ridge, NC",-79.9909575,36.1741407,"2205 oak ridge rd, oak ridge, nc 27310, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Summerfield Mobile Home Park",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","172 Turfwood Circle",NA,"Stokesdale",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"172 Turfwood Circle Stokesdale, NC",-79.943524,36.291455,"172 turfwood cir, stokesdale, nc 27357, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Pathway",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","3517 N. Church Street",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"3517 N. Church Street Greensboro, NC",-79.7891311,36.1275324,"3517 n church st, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Allerton Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","3201 Allerton Circle",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"3201 Allerton Circle Greensboro, NC",-79.9579089,36.1263193,"3201 allerton cir, greensboro, nc 27409, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Plantation Apartments",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","1101 Berkley Manor Way",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"1101 Berkley Manor Way Greensboro, NC",-79.9734218,36.1166079,"1101 berkley manor way, greensboro, nc 27409, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Greenbriar",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","129 Greenbriar Road",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"129 Greenbriar Road Greensboro, NC",-79.7932139,36.1278961,"129 greenbriar rd, greensboro, nc 27405, usa"
"Guilford County Schools","Guilford","Grab & Go Meals - Hayleigh Village",NA,"11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","11:00am-12:00pm","Closed","Closed","4020 Eight Belles Lane",NA,"Greensboro",NA,"https://www.gcsnc.com/",NA,NA,"Food distribution for any children ages 0 – 18
Grab-and-go and Satellite food sites are open from 11 a.m. to 12 p.m. Monday through Friday.
This does not include formula for infants
Food is also delivered by bus to “students that are most vulnerable and need it most.” I.e. homeless students or those in temporary housing.
GUILFORD COUNTY SCHOOLS FOOD HOTLINE: 336.332.7290 (24 hour hotline)",NA,"4020 Eight Belles Lane Greensboro, NC",-79.8832328,36.1426144,"4020 eight belles ln, greensboro, nc 27410, usa"
"FaithAction International House","Guilford","FaithAction ID Program",NA,"Closed","Closed","Closed","Closed","10:00am to 1:00pm","Closed","Closed","705 N. Greene Street",NA,"Greensboro",27401,"https://faithaction.org/","336-379-0037","FaithAction and FaithAction ID network partners provide ID cards to individuals who may not currently have access to government issued forms of ID, including new immigrants and refugees, homeless and elderly individuals, those recently returning from jail, and others who believe in a diverse and inclusive community.","Due to COVID 19, the office is closed to the public, phone-based appointments only. Call 336-379-0037 and leave a message with the person you want to speak with, they will call back from a private #",NA,"705 N. Greene Street Greensboro, NC",-79.7912896,36.0804364,"705 n greene st, greensboro, nc 27401, usa"
